,Security Code,Security Id,Security Name,dayHigh,dayLow,52weekHigh,52weekLow
426,540065,RBLBANK,RBL Bank Ltd,308.05,292.25,716.55,230.55
226,530813,KRBL,KRBL LTD.,308.25,297.00,391.20,186.80
395,535789,IBULHSGFIN,Indiabulls Housing Finance Ltd,308.70,293.45,919.00,165.95
258,532296,GLENMARK,GLENMARK PHARMACEUTICALS LTD.,313.40,303.60,667.00,267.30
401,539254,ADANITRANS,Adani Transmission Ltd,314.65,297.00,365.80,192.00
28,500112,SBIN,STATE BANK OF INDIA,319.00,309.50,373.70,244.35
463,541556,RITES,RITES Ltd,319.50,300.40,331.00,160.48
321,532779,TORNTPOWER,TORRENT POWER LTD.,321.35,306.25,332.50,230.45
78,500380,JKLAKSHMI,JK LAKSHMI CEMENT LTD.,330.00,323.00,396.20,260.20
168,511243,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd,332.25,322.25,348.85,226.35
312,532714,KEC,KEC INTERNATIONAL LTD.,338.80,330.25,358.30,230.35
253,532221,SONATSOFTW,SONATA SOFTWARE LTD.,339.00,333.60,363.45,282.50
177,513375,CARBORUNIV,CARBORUNDUM UNIVERSAL LTD.,340.20,333.50,415.25,266.40
58,500265,MAHSEAMLES,MAHARASHTRA SEAMLESS LTD.,344.75,335.10,512.50,335.10
191,519552,HERITGFOOD,Heritage Foods Limited,347.75,327.65,570.00,289.90
442,540678,COCHINSHIP,Cochin Shipyard Ltd,350.00,337.55,491.15,320.15
410,539551,NH,Narayana Hrudayalaya Ltd,351.95,334.90,389.00,181.35
259,532300,WOCKPHARMA,WOCKHARDT LTD.,352.95,324.75,470.50,230.00
374,533274,PRESTIGE,PRESTIGE ESTATES PROJECTS LTD.,356.40,342.00,426.15,193.10
200,523367,DCMSHRIRAM,DCM Shriram Limited,356.70,340.10,637.00,310.75
424,540047,DBL,Dilip Buildcon Ltd,360.05,344.05,733.85,317.00
346,532921,ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,367.95,358.50,430.00,316.00
221,530001,GUJALKALI,GUJARAT ALKALIES & CHEMICALS LTD.,370.85,357.00,595.80,351.75
313,532720,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,372.75,364.85,452.65,285.15
36,500144,FINCABLES,FINOLEX CABLES LTD.,374.65,360.30,506.75,334.95
322,532784,SOBHA,Sobha Limited,375.35,363.00,587.95,363.00
425,540064,FRETAIL,Future Retail Ltd,377.40,352.45,489.25,323.25
198,522287,KALPATPOWR,KALPATARU POWER TRANSMISSION LTD.,379.00,368.00,553.50,327.40
293,532539,MINDAIND,MINDA INDUSTRIES LTD.-$,379.20,371.50,425.85,263.10
261,532313,MAHLIFE,MAHINDRA LIFESPACE DEVELOPERS LTD.,380.20,367.65,454.15,351.90
55,500253,LICHSGFIN,LIC HOUSING FINANCE LTD.,382.45,354.50,586.80,354.00
300,532638,SHOPERSTOP,SHOPPERS STOP LTD.,384.60,379.20,519.00,338.60
119,500800,TATAGLOBAL,Tata Global Beverages Limited,386.25,373.40,407.95,181.50
416,539874,UJJIVAN,Ujjivan Financial Services Ltd,388.60,375.00,415.40,251.95
172,512179,SUNTECK,SUNTECK REALTY LTD.,392.80,381.40,532.00,320.00
238,532129,HEXAWARE,HEXAWARE TECHNOLOGIES LTD.,393.60,366.50,439.00,320.20
451,540767,NAM-INDIA,Nippon Life India Asset Management Ltd,394.50,366.00,411.85,149.30
396,536507,FLFL,Future Lifestyle Fashions Ltd,404.00,388.45,502.00,380.75
464,541578,VARROC,Varroc Engineering Ltd,408.15,385.00,666.35,380.05
215,524715,SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LTD.,410.75,399.10,484.10,350.40
452,540768,MAHLOG,Mahindra Logistics Ltd,414.15,398.60,574.80,325.00
430,540173,PNBHOUSING,PNB Housing Finance Ltd,415.00,404.00,976.45,371.90
5,500031,BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,419.00,391.55,573.64,298.95
39,500164,GODREJIND,GODREJ INDUSTRIES LTD.,420.15,403.50,553.50,377.00
280,532497,RADICO,RADICO KHAITAN LTD.,422.85,401.30,437.00,260.05
91,500470,TATASTEEL,TATA STEEL LTD.,434.75,421.35,560.35,320.30
433,540222,LAURUSLABS,Laurus Labs Ltd,435.90,422.35,460.00,298.00
18,500087,CIPLA,CIPLA LTD.,437.50,428.50,585.50,389.55
456,541153,BANDHANBNK,Bandhan Bank Ltd,437.80,420.50,650.00,420.50
